productType,brand,yearOfManufacture,conditionId,warrantyPolicy,mileage,rangePerCharge,batteryCapacity,batteryType,chargeCycles,batteryLifespan,maxSpeed,color,chargeTime,compatibleVehicle,FINAL_SALE_PRICE
car,Mercedes,2023,1,Còn bảo hành chính hãng,4000,620,112 kWh,NMC,100,96 tháng,295.0,Bạc,4 giờ,,4100000000
car,Tesla,2024,1,Còn bảo hành chính hãng,3000,660,118 kWh,Lithium-ion,90,96 tháng,315.0,Đỏ,4 giờ,,4700000000
car,Porsche,2023,1,Còn bảo hành chính hãng,3500,650,120 kWh,NCA,80,96 tháng,320,Đen,4 giờ,,4950000000
car,Audi,2025,1,Còn bảo hành chính hãng,2500,670,122 kWh,NMC,70,96 tháng,310,Xám,4 giờ,,5000000000
car,Lexus,2023,1,Còn bảo hành chính hãng,4000,620,112 kWh,NMC,100,96 tháng,295.0,Trắng,4-6 giờ,,4100000000
car,Vinfast,2024,1,Còn bảo hành chính hãng,3000,640,115 kWh,NCA,80,96 tháng,300,Đen,4 giờ,,4300000000
car,BMW,2022,1,Còn bảo hành chính hãng,8000,600,108 kWh,NMC,130,84 tháng,285.0,Đỏ,4-6 giờ,,3550000000
car,Mercedes,2023,1,Còn bảo hành chính hãng,6000,620,112 kWh,NMC,110,96 tháng,295.0,Bạc,4 giờ,,4050000000
car,Porsche,2025,1,Còn bảo hành chính hãng,1500,680,120 kWh,NCA,70,96 tháng,320,Đen,4 giờ,,5000000000
car,Audi,2023,1,Còn bảo hành chính hãng,5000,620,110 kWh,NMC,110,96 tháng,295.0,Xám,4-6 giờ,,4000000000
car,Lexus,2024,1,Còn bảo hành chính hãng,2500,640,115 kWh,NMC,90,96 tháng,300,Trắng,4 giờ,,4200000000
car,Vinfast,2024,1,Còn bảo hành chính hãng,5000,520,95 kWh,NCA,120,84 tháng,240,Đen,4-6 giờ,,2850000000
car,BMW,2022,1,Còn bảo hành chính hãng,12000,540,90 kWh,NMC,180,72 tháng,250,Trắng,4-6 giờ,,3200000000
car,Mercedes,2021,1,Hết bảo hành,18000,500,85 kWh,NMC,220,72 tháng,245.0,Bạc,5 giờ,,2980000000
car,Tesla,2023,1,Còn bảo hành chính hãng,8000,620,100 kWh,Lithium-ion,130,96 tháng,300,Đỏ,4 giờ,,4200000000
car,Porsche,2022,1,Còn bảo hành chính hãng,7000,560,110 kWh,NCA,150,84 tháng,310,Đen,4-6 giờ,,4600000000
car,Audi,2020,2,Hết bảo hành,32000,480,82 kWh,NMC,350,72 tháng,260,Xám,5 giờ,,2500000000
car,Lexus,2019,2,Hết bảo hành,45000,460,78 kWh,NMC,420,72 tháng,240,Trắng,5 giờ,,2300000000
car,Vinfast,2023,1,Còn bảo hành chính hãng,9000,510,96 kWh,NCA,140,84 tháng,245.0,Trắng,4-6 giờ,,3050000000
car,BMW,2024,1,Còn bảo hành chính hãng,4000,580,105 kWh,NMC,110,96 tháng,280,Đen,4 giờ,,3750000000
car,Mercedes,2020,2,Hết bảo hành,22000,490,88 kWh,NMC,320,72 tháng,250,Bạc,5 giờ,,2650000000
car,Tesla,2022,1,Còn bảo hành chính hãng,10000,600,100 kWh,Lithium-ion,160,96 tháng,310,Đỏ,4 giờ,,3950000000
car,Porsche,2021,1,Còn bảo hành chính hãng,8000,570,112 kWh,NCA,140,84 tháng,315.0,Đen,4-6 giờ,,4800000000
car,Audi,2023,1,Còn bảo hành chính hãng,6000,550,95 kWh,NMC,130,84 tháng,270,Xám,4-6 giờ,,3400000000
car,Lexus,2022,1,Còn bảo hành chính hãng,9000,520,88 kWh,NMC,150,84 tháng,260,Trắng,5 giờ,,3100000000
car,Vinfast,2021,2,Hết bảo hành,30000,470,80 kWh,NMC,400,72 tháng,230,Đỏ,5 giờ,,2200000000
car,BMW,2020,2,Hết bảo hành,26000,450,82 kWh,NMC,380,72 tháng,240,Đen,5 giờ,,2450000000
car,Mercedes,2024,1,Còn bảo hành chính hãng,3000,610,108 kWh,NCA,100,96 tháng,300,Bạc,4 giờ,,4350000000
car,Tesla,2021,2,Hết bảo hành,24000,500,85 kWh,Lithium-ion,420,72 tháng,280,Đỏ,5 giờ,,2550000000
car,Porsche,2023,1,Còn bảo hành chính hãng,5000,600,115 kWh,NCA,130,96 tháng,320,Đen,4-6 giờ,,4950000000
car,Audi,2021,2,Hết bảo hành,27000,470,84 kWh,NMC,360,72 tháng,250,Xám,5 giờ,,2350000000
car,Lexus,2023,1,Còn bảo hành chính hãng,6000,530,92 kWh,NMC,140,84 tháng,265.0,Trắng,4-6 giờ,,3250000000
car,Vinfast,2025,1,Còn bảo hành chính hãng,2000,640,110 kWh,NCA,50,96 tháng,290,Đen,4 giờ,,4600000000
car,BMW,2019,2,Hết bảo hành,52000,430,75 kWh,NMC,560,60 tháng,220,Trắng,6 giờ,,2100000000
car,Mercedes,2022,1,Còn bảo hành chính hãng,8000,560,98 kWh,NMC,160,84 tháng,280,Bạc,4-6 giờ,,3600000000
car,Tesla,2024,1,Còn bảo hành chính hãng,3000,650,120 kWh,Lithium-ion,90,96 tháng,320,Đỏ,4 giờ,,5000000000
car,Porsche,2020,2,Hết bảo hành,22000,520,95 kWh,NCA,330,72 tháng,295.0,Đen,5 giờ,,2900000000
car,Audi,2019,2,Hết bảo hành,48000,410,70 kWh,NMC,600,60 tháng,210,Xám,6 giờ,,2050000000
car,Lexus,2020,2,Hết bảo hành,42000,430,74 kWh,NMC,520,60 tháng,220,Trắng,6 giờ,,2150000000
car,Vinfast,2023,1,Còn bảo hành chính hãng,7000,540,102 kWh,NCA,150,84 tháng,275.0,Đen,4-6 giờ,,3350000000
car,BMW,2021,1,Còn bảo hành chính hãng,11000,560,99 kWh,NMC,200,84 tháng,285.0,Đỏ,4-6 giờ,,3550000000
car,Mercedes,2019,2,Hết bảo hành,60000,390,68 kWh,NMC,680,60 tháng,200,Bạc,6 giờ,,2000000000
car,Tesla,2020,2,Hết bảo hành,32000,480,85 kWh,Lithium-ion,420,72 tháng,300,Đỏ,5 giờ,,2600000000
car,Porsche,2024,1,Còn bảo hành chính hãng,4000,610,118 kWh,NCA,110,96 tháng,318.0,Đen,4 giờ,,4900000000
car,Audi,2022,1,Còn bảo hành chính hãng,9000,540,96 kWh,NMC,170,84 tháng,275.0,Xám,4-6 giờ,,3450000000
car,Lexus,2019,2,Hết bảo hành,52000,420,73 kWh,NMC,560,60 tháng,215.0,Trắng,6 giờ,,2250000000
car,Vinfast,2022,1,Còn bảo hành chính hãng,10000,500,92 kWh,NCA,190,84 tháng,270,Đen,4-6 giờ,,3150000000
car,BMW,2023,1,Còn bảo hành chính hãng,6000,580,107 kWh,NMC,120,96 tháng,295.0,Đỏ,4 giờ,,4000000000
car,Mercedes,2021,1,Còn bảo hành chính hãng,14000,520,90 kWh,NMC,210,84 tháng,275.0,Bạc,4-6 giờ,,3300000000
car,Tesla,2019,2,Hết bảo hành,58000,400,75 kWh,Lithium-ion,650,60 tháng,260,Đỏ,6 giờ,,2150000000
car,Porsche,2021,1,Còn bảo hành chính hãng,9000,560,110 kWh,NCA,160,84 tháng,310,Đen,4-6 giờ,,4500000000
car,Audi,2024,1,Còn bảo hành chính hãng,3000,600,105 kWh,NMC,100,96 tháng,300,Xám,4 giờ,,4200000000
car,Lexus,2021,1,Còn bảo hành chính hãng,12000,540,94 kWh,NMC,180,84 tháng,280,Trắng,4-6 giờ,,3400000000
car,Vinfast,2020,2,Hết bảo hành,26000,470,86 kWh,NCA,350,72 tháng,250,Đỏ,5 giờ,,2700000000
car,BMW,2022,1,Còn bảo hành chính hãng,8000,560,100 kWh,NMC,150,84 tháng,290,Đen,4-6 giờ,,3700000000
car,Mercedes,2023,1,Còn bảo hành chính hãng,5000,590,112 kWh,NCA,120,96 tháng,305.0,Bạc,4 giờ,,4400000000
car,Tesla,2022,1,Còn bảo hành chính hãng,9000,600,110 kWh,Lithium-ion,140,96 tháng,310,Đỏ,4-6 giờ,,4300000000
car,Porsche,2019,2,Hết bảo hành,46000,430,80 kWh,NCA,580,60 tháng,260,Đen,6 giờ,,2250000000
car,Audi,2020,2,Hết bảo hành,29000,480,88 kWh,NMC,340,72 tháng,260,Xám,5 giờ,,2650000000
car,Lexus,2024,1,Còn bảo hành chính hãng,2000,620,118 kWh,NMC,80,96 tháng,300,Trắng,4 giờ,,4700000000
car,Vinfast,2021,1,Còn bảo hành chính hãng,15000,520,94 kWh,NCA,200,84 tháng,275.0,Đen,4-6 giờ,,3200000000
car,BMW,2019,2,Hết bảo hành,54000,410,72 kWh,NMC,600,60 tháng,230,Đỏ,6 giờ,,2100000000
car,Mercedes,2020,2,Hết bảo hành,35000,450,86 kWh,NMC,380,72 tháng,260,Bạc,5 giờ,,2800000000
car,Tesla,2023,1,Còn bảo hành chính hãng,7000,630,115 kWh,Lithium-ion,110,96 tháng,315.0,Đỏ,4-6 giờ,,4700000000
car,Porsche,2022,1,Còn bảo hành chính hãng,6000,580,108 kWh,NCA,130,84 tháng,312,Đen,4-6 giờ,,4650000000
car,Audi,2021,2,Hết bảo hành,28000,470,86 kWh,NMC,360,72 tháng,265.0,Xám,5 giờ,,2550000000
car,Lexus,2020,2,Hết bảo hành,40000,440,82 kWh,NMC,420,72 tháng,250,Trắng,6 giờ,,2400000000
car,Vinfast,2024,1,Còn bảo hành chính hãng,2500,600,120 kWh,NCA,90,96 tháng,320,Đen,4 giờ,,5000000000
car,BMW,2021,1,Còn bảo hành chính hãng,10000,560,98 kWh,NMC,170,84 tháng,285.0,Đỏ,4-6 giờ,,3550000000
car,Mercedes,2019,2,Hết bảo hành,62000,400,70 kWh,NMC,700,60 tháng,210,Bạc,6 giờ,,2050000000
car,Tesla,2020,2,Hết bảo hành,30000,490,85 kWh,Lithium-ion,420,72 tháng,300,Đỏ,5 giờ,,2650000000
car,Porsche,2023,1,Còn bảo hành chính hãng,4500,590,112 kWh,NCA,120,96 tháng,318.0,Đen,4 giờ,,4850000000
car,Audi,2022,1,Còn bảo hành chính hãng,8500,560,100 kWh,NMC,150,84 tháng,290,Xám,4-6 giờ,,3950000000
car,Lexus,2019,2,Hết bảo hành,58000,420,76 kWh,NMC,560,60 tháng,225.0,Trắng,6 giờ,,2200000000
car,Vinfast,2023,1,Còn bảo hành chính hãng,6000,550,102 kWh,NCA,140,84 tháng,280,Đen,4-6 giờ,,3450000000
car,BMW,2024,1,Còn bảo hành chính hãng,3500,610,110 kWh,NMC,100,96 tháng,305.0,Đỏ,4 giờ,,4200000000
car,Mercedes,2021,1,Còn bảo hành chính hãng,13000,530,92 kWh,NMC,200,84 tháng,275.0,Bạc,4-6 giờ,,3300000000
car,Tesla,2019,2,Hết bảo hành,52000,410,72 kWh,Lithium-ion,640,60 tháng,260,Đỏ,6 giờ,,2080000000
car,Vinfast,2021,1,Còn bảo hành chính hãng,12000,500,90 kWh,NCA,200,84 tháng,270,Đen,4-6 giờ,,3200000000
car,BMW,2022,1,Còn bảo hành chính hãng,8000,570,100 kWh,NMC,150,84 tháng,280,Trắng,4-6 giờ,,3600000000
car,Mercedes,2020,2,Hết bảo hành,24000,480,85 kWh,NMC,300,72 tháng,260,Bạc,5 giờ,,2650000000
car,Tesla,2024,1,Còn bảo hành chính hãng,3000,650,118 kWh,Lithium-ion,80,96 tháng,315.0,Đỏ,4 giờ,,4800000000
car,Porsche,2023,1,Còn bảo hành chính hãng,4000,610,115 kWh,NCA,100,96 tháng,320,Đen,4 giờ,,4900000000
car,Audi,2022,1,Còn bảo hành chính hãng,9000,590,104 kWh,NMC,150,84 tháng,285.0,Xám,4-6 giờ,,3550000000
car,Lexus,2020,2,Hết bảo hành,26000,470,84 kWh,NMC,340,72 tháng,255.0,Trắng,5 giờ,,2500000000
car,Vinfast,2023,1,Còn bảo hành chính hãng,5000,580,100 kWh,NCA,140,84 tháng,280,Đen,4-6 giờ,,3500000000
car,BMW,2019,2,Hết bảo hành,52000,430,75 kWh,NMC,550,60 tháng,220,Đỏ,6 giờ,,2100000000
car,Mercedes,2024,1,Còn bảo hành chính hãng,2000,640,115 kWh,NMC,70,96 tháng,305.0,Bạc,4 giờ,,4450000000
car,Tesla,2023,1,Còn bảo hành chính hãng,4000,620,112 kWh,Lithium-ion,100,96 tháng,310,Đỏ,4 giờ,,4400000000
car,Porsche,2021,1,Còn bảo hành chính hãng,10000,590,108 kWh,NCA,150,84 tháng,310,Đen,4-6 giờ,,3750000000
car,Audi,2020,2,Hết bảo hành,30000,460,82 kWh,NMC,400,72 tháng,250,Xám,5 giờ,,2400000000
car,Lexus,2024,1,Còn bảo hành chính hãng,2500,640,115 kWh,NMC,90,96 tháng,300,Trắng,4 giờ,,4300000000
car,Vinfast,2022,1,Còn bảo hành chính hãng,9000,590,105 kWh,NCA,150,84 tháng,285.0,Đen,4-6 giờ,,3600000000
car,BMW,2023,1,Còn bảo hành chính hãng,6000,600,110 kWh,NMC,130,96 tháng,295.0,Đỏ,4 giờ,,4100000000
car,Mercedes,2021,1,Còn bảo hành chính hãng,13000,540,92 kWh,NMC,200,84 tháng,275.0,Bạc,4-6 giờ,,3300000000
car,Tesla,2022,1,Còn bảo hành chính hãng,9000,600,110 kWh,Lithium-ion,140,96 tháng,305.0,Đỏ,4-6 giờ,,4300000000
car,Porsche,2024,1,Còn bảo hành chính hãng,2000,670,120 kWh,NCA,70,96 tháng,320,Đen,4 giờ,,5000000000
car,Audi,2021,1,Còn bảo hành chính hãng,12000,550,95 kWh,NMC,180,84 tháng,275.0,Xám,4-6 giờ,,3300000000
car,Lexus,2023,1,Còn bảo hành chính hãng,4000,610,110 kWh,NMC,100,96 tháng,295.0,Trắng,4 giờ,,4000000000
car,Vinfast,2020,2,Hết bảo hành,28000,470,85 kWh,NCA,350,72 tháng,245.0,Đen,5 giờ,,2600000000
car,Mercedes,2019,2,Hết bảo hành,60000,390,70 kWh,NMC,650,60 tháng,200,Bạc,6 giờ,,2050000000
car,Tesla,2023,1,Còn bảo hành chính hãng,4000,650,118 kWh,Lithium-ion,100,96 tháng,315.0,Đỏ,4 giờ,,4700000000
car,Porsche,2022,1,Còn bảo hành chính hãng,6000,580,108 kWh,NCA,130,84 tháng,310,Đen,4 giờ,,4600000000
car,Audi,2024,1,Còn bảo hành chính hãng,2500,630,112 kWh,NMC,80,96 tháng,295.0,Xám,4 giờ,,4200000000
car,Lexus,2021,2,Hết bảo hành,20000,490,86 kWh,NMC,300,72 tháng,260,Trắng,5 giờ,,2750000000
car,Vinfast,2024,1,Còn bảo hành chính hãng,2500,620,115 kWh,NCA,90,96 tháng,295.0,Đen,4 giờ,,4200000000
car,BMW,2022,1,Còn bảo hành chính hãng,9000,590,104 kWh,NMC,140,84 tháng,285.0,Đỏ,4-6 giờ,,3500000000
car,Mercedes,2023,1,Còn bảo hành chính hãng,5000,610,112 kWh,NMC,110,96 tháng,295.0,Bạc,4 giờ,,4100000000
car,Tesla,2020,2,Hết bảo hành,32000,480,85 kWh,Lithium-ion,420,72 tháng,270,Đỏ,5 giờ,,2550000000
car,Porsche,2025,1,Còn bảo hành chính hãng,2000,680,122 kWh,NCA,60,96 tháng,320,Đen,4 giờ,,5000000000
car,Audi,2023,1,Còn bảo hành chính hãng,4000,610,110 kWh,NMC,100,96 tháng,300,Xám,4 giờ,,4100000000
car,Lexus,2024,1,Còn bảo hành chính hãng,3000,620,115 kWh,NMC,90,96 tháng,300,Trắng,4 giờ,,4200000000
car,Vinfast,2022,1,Còn bảo hành chính hãng,8000,580,104 kWh,NCA,140,84 tháng,285.0,Đen,4-6 giờ,,3550000000
car,BMW,2021,1,Còn bảo hành chính hãng,11000,560,98 kWh,NMC,200,84 tháng,285.0,Đỏ,4-6 giờ,,3300000000
car,Mercedes,2024,1,Còn bảo hành chính hãng,3000,640,115 kWh,NMC,90,96 tháng,300,Bạc,4 giờ,,4400000000
car,Tesla,2023,1,Còn bảo hành chính hãng,6000,630,115 kWh,Lithium-ion,110,96 tháng,315.0,Đỏ,4 giờ,,4650000000
car,Porsche,2024,1,Còn bảo hành chính hãng,4000,660,120 kWh,NCA,90,96 tháng,320,Đen,4 giờ,,4950000000
car,Audi,2020,2,Hết bảo hành,28000,460,80 kWh,NMC,420,72 tháng,250,Xám,5 giờ,,2350000000
car,Lexus,2023,1,Còn bảo hành chính hãng,5000,600,108 kWh,NMC,120,96 tháng,290,Trắng,4-6 giờ,,3700000000
car,Vinfast,2025,1,Còn bảo hành chính hãng,1500,670,120 kWh,NCA,60,96 tháng,310,Đen,4 giờ,,4800000000
car,BMW,2024,1,Còn bảo hành chính hãng,4000,630,112 kWh,NMC,100,96 tháng,295.0,Đỏ,4 giờ,,4200000000
car,Mercedes,2023,1,Còn bảo hành chính hãng,6000,610,110 kWh,NMC,110,96 tháng,295.0,Bạc,4 giờ,,4000000000
car,Tesla,2024,1,Còn bảo hành chính hãng,2500,660,118 kWh,Lithium-ion,80,96 tháng,315.0,Đỏ,4 giờ,,4700000000
car,Porsche,2025,1,Còn bảo hành chính hãng,2000,680,122 kWh,NCA,70,96 tháng,320,Đen,4 giờ,,5000000000
car,Audi,2022,1,Còn bảo hành chính hãng,7000,590,105 kWh,NMC,130,84 tháng,285.0,Xám,4-6 giờ,,3600000000
car,Lexus,2021,2,Hết bảo hành,18000,500,88 kWh,NMC,260,72 tháng,265.0,Trắng,5 giờ,,2900000000
car,Vinfast,2023,1,Còn bảo hành chính hãng,5000,580,100 kWh,NCA,130,84 tháng,280,Đen,4-6 giờ,,3500000000
car,BMW,2019,2,Hết bảo hành,56000,420,74 kWh,NMC,580,60 tháng,230,Đỏ,6 giờ,,2150000000
car,Mercedes,2022,1,Còn bảo hành chính hãng,9000,580,104 kWh,NMC,140,84 tháng,285.0,Bạc,4-6 giờ,,3450000000
car,Tesla,2024,1,Còn bảo hành chính hãng,3000,650,118 kWh,Lithium-ion,90,96 tháng,310,Đỏ,4 giờ,,4750000000
car,Porsche,2023,1,Còn bảo hành chính hãng,5000,630,115 kWh,NCA,110,96 tháng,318.0,Đen,4 giờ,,4800000000
car,Audi,2021,1,Còn bảo hành chính hãng,13000,550,95 kWh,NMC,200,84 tháng,275.0,Xám,4-6 giờ,,3200000000
car,Lexus,2024,1,Còn bảo hành chính hãng,3000,620,112 kWh,NMC,90,96 tháng,295.0,Trắng,4 giờ,,4100000000
car,BMW,2023,1,Còn bảo hành chính hãng,6000,600,108 kWh,NMC,120,96 tháng,295.0,Đỏ,4-6 giờ,,3850000000
car,Mercedes,2024,1,Còn bảo hành chính hãng,2500,640,115 kWh,NMC,90,96 tháng,300,Bạc,4 giờ,,4300000000
car,Tesla,2022,1,Còn bảo hành chính hãng,10000,600,110 kWh,Lithium-ion,140,96 tháng,305.0,Đỏ,4 giờ,,4300000000
car,Porsche,2023,1,Còn bảo hành chính hãng,4000,620,115 kWh,NCA,100,96 tháng,315.0,Đen,4 giờ,,4650000000
car,Audi,2024,1,Còn bảo hành chính hãng,2500,640,112 kWh,NMC,80,96 tháng,295.0,Xám,4 giờ,,4150000000
car,Lexus,2023,1,Còn bảo hành chính hãng,4000,600,108 kWh,NMC,120,96 tháng,290,Trắng,4-6 giờ,,3750000000
car,Vinfast,2021,2,Hết bảo hành,20000,490,86 kWh,NCA,300,72 tháng,260,Đen,5 giờ,,2800000000
car,Jaguar,2023,1,Còn bảo hành chính hãng,5200,560,102 kWh,NMC,95.0,84 tháng,285.0,Đen,4-6 giờ,,3620000000
car,Volvo,2022,1,Còn bảo hành chính hãng,8600,520,98 kWh,NMC,120,84 tháng,275.0,Trắng,4-6 giờ,,3380000000
car,Land Rover,2021,2,Hết bảo hành,24000,480,92 kWh,NCA,250,72 tháng,260,Xám,5 giờ,,2900000000
car,Lucid,2024,1,Còn bảo hành chính hãng,3000,680,118 kWh,Lithium-ion,60,96 tháng,315.0,Bạc,4 giờ,,4650000000
car,Polestar,2023,1,Còn bảo hành chính hãng,7000,630,110 kWh,NMC,100,96 tháng,300,Đỏ,4 giờ,,4120000000
car,Vinfast,2022,1,Còn bảo hành chính hãng,14000,510,96 kWh,NCA,160,84 tháng,275.0,Trắng,4-6 giờ,,3450000000
car,BMW,2021,2,Hết bảo hành,22000,480,88 kWh,NMC,320,72 tháng,260,Đen,5 giờ,,2750000000
car,Mercedes,2020,2,Hết bảo hành,38000,450,82 kWh,NMC,460,60 tháng,250,Bạc,6 giờ,,2350000000
car,Tesla,2023,1,Còn bảo hành chính hãng,6000,640,112 kWh,Lithium-ion,110,96 tháng,305.0,Đỏ,4 giờ,,4300000000
car,Porsche,2021,1,Còn bảo hành chính hãng,9000,600,108 kWh,NCA,140,84 tháng,310,Đen,4-6 giờ,,3720000000
car,Audi,2024,1,Còn bảo hành chính hãng,2500,620,115 kWh,NMC,85.0,96 tháng,300,Xám,4 giờ,,4440000000
car,Lexus,2020,2,Hết bảo hành,30000,460,80 kWh,NMC,420,72 tháng,250,Trắng,5 giờ,,2450000000
car,Jaguar,2021,2,Hết bảo hành,36000,470,86 kWh,NMC,380,72 tháng,255.0,Đen,5 giờ,,2580000000
car,Volvo,2024,1,Còn bảo hành chính hãng,4200,610,118 kWh,NMC,90,96 tháng,305.0,Bạc,4 giờ,,4680000000
car,Land Rover,2023,1,Còn bảo hành chính hãng,8000,580,105 kWh,NCA,130,84 tháng,290,Đỏ,4-6 giờ,,3950000000
car,Lucid,2022,1,Còn bảo hành chính hãng,7000,650,120 kWh,Lithium-ion,100,96 tháng,320,Trắng,4 giờ,,4830000000
car,Polestar,2021,2,Hết bảo hành,26000,500,92 kWh,NMC,360,72 tháng,265.0,Đen,5 giờ,,2720000000
car,Vinfast,2024,1,Còn bảo hành chính hãng,1800,660,120 kWh,NCA,60,96 tháng,320,Xám,4 giờ,,4990000000
car,BMW,2020,2,Hết bảo hành,42000,430,78 kWh,NMC,520,60 tháng,230,Đỏ,6 giờ,,2150000000
car,Mercedes,2022,1,Còn bảo hành chính hãng,9000,590,100 kWh,NMC,150,84 tháng,285.0,Bạc,4-6 giờ,,3450000000
car,Tesla,2024,1,Còn bảo hành chính hãng,2500,660,115 kWh,Lithium-ion,80,96 tháng,310,Đỏ,4 giờ,,4720000000
car,Porsche,2020,2,Hết bảo hành,32000,520,95 kWh,NCA,340,72 tháng,295.0,Đen,5 giờ,,2920000000
car,Audi,2021,1,Còn bảo hành chính hãng,15000,550,98 kWh,NMC,210,84 tháng,275.0,Xám,4-6 giờ,,3320000000
car,Lexus,2023,1,Còn bảo hành chính hãng,6000,630,110 kWh,NMC,120,96 tháng,295.0,Trắng,4 giờ,,3980000000
car,Jaguar,2024,1,Còn bảo hành chính hãng,2000,640,112 kWh,NMC,70,96 tháng,300,Đen,4 giờ,,4180000000
car,Volvo,2021,2,Hết bảo hành,28000,480,85 kWh,NMC,400,72 tháng,260,Bạc,5 giờ,,2600000000
car,Land Rover,2020,2,Hết bảo hành,52000,420,72 kWh,NCA,700,60 tháng,220,Đen,6 giờ,,2050000000
car,Lucid,2025,1,Còn bảo hành chính hãng,1200,700,125 kWh,Lithium-ion,40,96 tháng,330,Trắng,4 giờ,,5000000000
car,Polestar,2024,1,Còn bảo hành chính hãng,3000,640,116 kWh,NMC,80,96 tháng,305.0,Đỏ,4 giờ,,4300000000
car,Vinfast,2023,1,Còn bảo hành chính hãng,7000,600,105 kWh,NCA,140,84 tháng,285.0,Đen,4-6 giờ,,3600000000
car,BMW,2025,1,Còn bảo hành chính hãng,1200,680,122 kWh,NMC,50,96 tháng,315.0,Trắng,4 giờ,,4750000000
car,Mercedes,2019,2,Hết bảo hành,59000,410,74 kWh,NMC,640,60 tháng,230,Bạc,6 giờ,,2120000000
car,Tesla,2021,2,Hết bảo hành,28000,500,88 kWh,Lithium-ion,420,72 tháng,280,Đỏ,5 giờ,,2620000000
car,Porsche,2024,1,Còn bảo hành chính hãng,3500,660,120 kWh,NCA,85.0,96 tháng,320,Đen,4 giờ,,4920000000
car,Audi,2020,2,Hết bảo hành,30000,470,82 kWh,NMC,420,72 tháng,250,Xám,5 giờ,,2400000000
car,Lexus,2022,1,Còn bảo hành chính hãng,11000,560,96 kWh,NMC,180,84 tháng,275.0,Trắng,4-6 giờ,,3300000000
car,Jaguar,2019,2,Hết bảo hành,68000,380,70 kWh,NMC,680,60 tháng,210,Đen,6 giờ,,2080000000
car,Volvo,2023,1,Còn bảo hành chính hãng,9000,610,108 kWh,NMC,110,96 tháng,290,Bạc,4 giờ,,4020000000
car,Land Rover,2022,1,Còn bảo hành chính hãng,10000,580,106 kWh,NCA,160,84 tháng,295.0,Đỏ,4-6 giờ,,3820000000
car,Lucid,2023,1,Còn bảo hành chính hãng,5000,670,119 kWh,Lithium-ion,95.0,96 tháng,318.0,Trắng,4 giờ,,4890000000
car,Polestar,2020,2,Hết bảo hành,42000,460,84 kWh,NMC,440,72 tháng,255.0,Đen,5 giờ,,2550000000
car,Vinfast,2025,1,Còn bảo hành chính hãng,800,690,125 kWh,NCA,30,96 tháng,330,Trắng,4 giờ,,4995000000
car,BMW,2023,1,Còn bảo hành chính hãng,7000,600,110 kWh,NMC,120,96 tháng,295.0,Đỏ,4-6 giờ,,3990000000
car,Mercedes,2021,1,Còn bảo hành chính hãng,13000,550,94 kWh,NMC,190,84 tháng,275.0,Bạc,4-6 giờ,,3180000000
car,Tesla,2020,2,Hết bảo hành,36000,480,86 kWh,Lithium-ion,460,72 tháng,270,Đỏ,5 giờ,,2280000000
car,Porsche,2021,1,Còn bảo hành chính hãng,16000,560,100 kWh,NCA,200,84 tháng,300,Đen,4-6 giờ,,3500000000
car,Audi,2025,1,Còn bảo hành chính hãng,1900,660,118 kWh,NMC,70,96 tháng,310,Xám,4 giờ,,4800000000
car,Lexus,2019,2,Hết bảo hành,50000,420,76 kWh,NMC,580,60 tháng,220,Trắng,6 giờ,,2220000000
car,Jaguar,2022,1,Còn bảo hành chính hãng,9000,580,104 kWh,NMC,150,84 tháng,285.0,Đen,4-6 giờ,,3500000000
car,Volvo,2020,2,Hết bảo hành,40000,440,86 kWh,NMC,460,72 tháng,260,Bạc,5 giờ,,2605000000
car,Land Rover,2024,1,Còn bảo hành chính hãng,4500,610,114 kWh,NCA,110,96 tháng,305.0,Đen,4 giờ,,4305000000
car,Lucid,2021,2,Hết bảo hành,22000,520,96 kWh,Lithium-ion,420,72 tháng,275.0,Trắng,6 giờ,,2650000000
car,Polestar,2025,1,Còn bảo hành chính hãng,1600,700,126 kWh,NMC,40,96 tháng,335.0,Đỏ,4 giờ,,5000000000
car,Vinfast,2021,1,Còn bảo hành chính hãng,15000,520,94 kWh,NCA,200,84 tháng,275.0,Trắng,4-6 giờ,,3120000000
car,BMW,2020,2,Hết bảo hành,34000,460,82 kWh,NMC,420,72 tháng,245.0,Đỏ,6 giờ,,2380000000
car,Mercedes,2023,1,Còn bảo hành chính hãng,6000,600,110 kWh,NMC,120,96 tháng,300,Bạc,4 giờ,,4050000000
car,Tesla,2024,1,Còn bảo hành chính hãng,2000,670,116 kWh,Lithium-ion,70,96 tháng,315.0,Đỏ,4 giờ,,4780000000
car,Porsche,2019,2,Hết bảo hành,54000,420,74 kWh,NCA,650,60 tháng,210,Đen,6 giờ,,2105000000
car,Audi,2021,1,Còn bảo hành chính hãng,14000,560,96 kWh,NMC,190,84 tháng,275.0,Xám,4-6 giờ,,3255000000
car,Lexus,2022,1,Còn bảo hành chính hãng,10000,580,102 kWh,NMC,150,84 tháng,285.0,Trắng,4-6 giờ,,3650000000
car,Jaguar,2025,1,Còn bảo hành chính hãng,1200,690,124 kWh,NMC,50,96 tháng,330,Đen,4 giờ,,4980000000
car,Volvo,2023,1,Còn bảo hành chính hãng,7000,610,108 kWh,NMC,120,96 tháng,290,Bạc,4 giờ,,4025000000
